Vecs,time_median,mem_median,time_seconds,mem_bytes
create entity,5.97 ms,1.11 MB,5.9661500000e-03,1.1629440000e+06
delete entity,2.68 ms,1.62 MB,2.6831000000e-03,1.7036160000e+06
add component,14.25 ms,1.92 MB,1.4245600000e-02,2.0127360000e+06
remove component,8.23 ms,2.05 MB,8.2347000000e-03,2.1479040000e+06
add remove component,22.37 ms,985.75 KB,2.2366050000e-02,1.0094080000e+06
iteration,11.90 µs,1003.70 KB,1.1900000000e-05,1.0277920000e+06
read,1.77 ms,983.56 KB,1.7690000000e-03,1.0071680000e+06
write,1.74 ms,983.56 KB,1.7388500000e-03,1.0071680000e+06
heterogeneous iter,42.50 µs,1.39 MB,4.2500000000e-05,1.4546400000e+06
pristine iter,1.81 ms,72.88 MB,1.8130500000e-03,7.6418752000e+07
churn iter,1.84 ms,80.50 MB,1.8378500000e-03,8.4414144000e+07
